web-scraper-order,web-scraper-start-url,product_category,product_category-href,Product,Product-href,name,variants,description,price,packprice
"1536417309-29","https://naturestokri.com/product-category/all-organic-staples/","Foodgrains, oil & Masala","https://naturestokri.com/product-category/all-organic-staples/foodgrains-oil-masala/","<img
width=""300"" height=""200"" src=""https://naturestokri.com/wp-content/uploads/2018/07/organic-brown-sugar-300x200.jpg"" class=""attachment-woocommerce_thumbnail size-woocommerce_thumbnail wp-post-image"" alt="""" />","https://naturestokri.com/store/all-organic-staples/organic-sugar-brown/","Organic Sugar – Brown","<option value="""">Choose an option</option><option value=""500 gms Pouch"" class=""attached enabled"">500 gms Pouch</option>","We Strive to cycle resources, promote ecological balance, and conserve biodiversity and bring to you Organic Sugar – Brown that is produced using the best agricultural produce and practices. This product is cleaned, processed and packed in the most hygienic conditions to preserve its natural nutrition for your health benefits.","₹70.00","₹95.00"
"1536417364-51","https://naturestokri.com/product-category/all-organic-staples/","Foodgrains, oil & Masala","https://naturestokri.com/product-category/all-organic-staples/foodgrains-oil-masala/","<img
width=""300"" height=""200"" src=""https://naturestokri.com/wp-content/uploads/2018/07/Organic-toor-arhar-dal-polished-300x200.jpg"" class=""attachment-woocommerce_thumbnail size-woocommerce_thumbnail wp-post-image"" alt=""Organic toor dal"" />","https://naturestokri.com/store/all-organic-staples/organic-toor-arhar-dal-split-unpolished/","Organic Toor Dal / Arhar Dal Split – Unpolished","<option value="""">Choose an option</option><option value=""500 gms Pouch"" class=""attached enabled"">500 gms Pouch</option><option value=""1 kg Pouch"" class=""attached enabled"">1 kg Pouch</option>","Toor Dal is one of the staple foods to add its importance in Indian cuisines. Organic Toor dal is rich in Fibre, Carbohydrates, Protein, Calcium, and Fat. The flavor and the taste of Tur dal is unique and is one of the most appetizing dals. It is certified organic dal which is free from synthetic chemicals and pesticides.","₹83.00","₹83.00"
"1536417304-27","https://naturestokri.com/product-category/all-organic-staples/","Foodgrains, oil & Masala","https://naturestokri.com/product-category/all-organic-staples/foodgrains-oil-masala/","<img
width=""300"" height=""200"" src=""https://naturestokri.com/wp-content/uploads/2018/07/jaggery-granules-300x200.jpeg"" class=""attachment-woocommerce_thumbnail size-woocommerce_thumbnail wp-post-image"" alt="""" />","https://naturestokri.com/store/all-organic-staples/organic-jaggery-granules/","Organic Jaggery Granules","<option value="""">Choose an option</option><option value=""500 gms Pouch"" class=""attached enabled"">500 gms Pouch</option>","We Strive to cycle resources, promote ecological balance, and conserve biodiversity and bring to you Organic Jaggery Granules that is grown using the best agricultural practices. This product is cleaned, processed and packed in the most hygienic conditions to preserve its natural nutrition for your health benefits.","₹61.00","₹79.00"
"1536417274-15","https://naturestokri.com/product-category/all-organic-staples/","Atta, Flours & Sooji","https://naturestokri.com/product-category/all-organic-staples/foodgrains-oil-masala/atta-flours-sooji/","<img
width=""300"" height=""200"" src=""https://naturestokri.com/wp-content/uploads/2018/07/organic-maida-300x200.jpg"" class=""attachment-woocommerce_thumbnail size-woocommerce_thumbnail wp-post-image"" alt="""" />","https://naturestokri.com/store/all-organic-staples/organic-maida/","Organic Maida","<option value="""">Choose an option</option><option value=""500 gms Pouch"" class=""attached enabled"">500 gms Pouch</option>","We Strive to cycle resources, promote ecological balance, and conserve biodiversity and bring to you Organic Maida that is grown using the best agricultural practices. This product is cleaned, processed and packed in the most hygienic conditions to preserve its natural nutrition for your health benefits.","₹38.00","₹73.00"
"1536417361-50","https://naturestokri.com/product-category/all-organic-staples/","Foodgrains, oil & Masala","https://naturestokri.com/product-category/all-organic-staples/foodgrains-oil-masala/","<img
width=""300"" height=""200"" src=""https://naturestokri.com/wp-content/uploads/2018/07/urad-dal-white-split-300x200.jpg"" class=""attachment-woocommerce_thumbnail size-woocommerce_thumbnail wp-post-image"" alt="""" />","https://naturestokri.com/store/all-organic-staples/organic-urad-dal-white-split-skinless-without-chilka/","Organic Urad Dal White Split Skinless/Without Chilka","<option value="""">Choose an option</option><option value=""500 gms Pouch"" class=""attached enabled"">500 gms Pouch</option>","We Strive to cycle resources, promote ecological balance, and conserve biodiversity and bring to you Organic Urad Dal White Split Skinless that is grown using the best agricultural practices. This product is cleaned, processed and packed in the most hygienic conditions to preserve its natural nutrition for your health benefits.","₹87.00","null"
"1536417352-46","https://naturestokri.com/product-category/all-organic-staples/","Foodgrains, oil & Masala","https://naturestokri.com/product-category/all-organic-staples/foodgrains-oil-masala/","<img
width=""300"" height=""200"" src=""https://naturestokri.com/wp-content/uploads/2018/07/wheat-sharbati-1-300x200.jpg"" class=""attachment-woocommerce_thumbnail size-woocommerce_thumbnail wp-post-image"" alt=""OrgoKing Organic Wheat Sharbati"" />","https://naturestokri.com/store/all-organic-staples/organic-wheat-sharbati/","OrgoKing Organic Wheat Sharbati – 1kg Pack","","null","₹96.00","null"
"1536417293-22","https://naturestokri.com/product-category/all-organic-staples/","Foodgrains, oil & Masala","https://naturestokri.com/product-category/all-organic-staples/foodgrains-oil-masala/","<img
width=""300"" height=""200"" src=""https://naturestokri.com/wp-content/uploads/2018/07/Sonamassori-Rice-Brown-1-Kg-Front-300x200.jpg"" class=""attachment-woocommerce_thumbnail size-woocommerce_thumbnail wp-post-image"" alt="""" />","https://naturestokri.com/store/all-organic-staples/pro-nature-sonamasoori-rice-brown-1kg-pouch/","Pro Nature Sonamasoori Rice – Brown – 1kg Pouch","","fssai Lic No:10015043001204

Manufactured By:

Pro Nature Organic Foods Pvt Ltd,

A-4,NGEF Ancillary Industrial Estate,Graphite India Road,Mahadevapura,Bangalore 560048,Karnataka","₹93.00","null"
"1536417257-7","https://naturestokri.com/product-category/all-organic-staples/","Atta, Flours & Sooji","https://naturestokri.com/product-category/all-organic-staples/foodgrains-oil-masala/atta-flours-sooji/","<img
width=""300"" height=""200"" src=""https://naturestokri.com/wp-content/uploads/2018/07/Sooji-Rava-500g-front-300x200.jpg"" class=""attachment-woocommerce_thumbnail size-woocommerce_thumbnail wp-post-image"" alt=""Pro Nature Sooji Rava"" />","https://naturestokri.com/store/all-organic-staples/foodgrains-oil-masala/atta-flours-sooji/pro-nature-sooji-rava-500gms-pack/","Pro Nature Sooji Rava – 500gms Pack","","fssai Lic No:10015043001204

Manufactured By:

Pro Nature Organic Foods Pvt Ltd,

A-4,NGEF Ancillary Industrial Estate,Graphite India Road,Mahadevapura,Bangalore 560048,Karnataka","₹45.00","null"
"1536417248-3","https://naturestokri.com/product-category/all-organic-staples/","Atta, Flours & Sooji","https://naturestokri.com/product-category/all-organic-staples/foodgrains-oil-masala/atta-flours-sooji/","<img
width=""300"" height=""200"" src=""https://naturestokri.com/wp-content/uploads/2018/08/HDSC3224-39-300x200.jpg"" class=""attachment-woocommerce_thumbnail size-woocommerce_thumbnail wp-post-image"" alt=""Natureap Ragi Flour"" />","https://naturestokri.com/store/all-organic-staples/foodgrains-oil-masala/atta-flours-sooji/natureap-ragi-flour-nachani-satva-500gms/","Natureap Ragi Flour / Nachani Satva – 500gms","","null","₹55.00","null"
"1536417320-33","https://naturestokri.com/product-category/all-organic-staples/","Foodgrains, oil & Masala","https://naturestokri.com/product-category/all-organic-staples/foodgrains-oil-masala/","<img
width=""300"" height=""200"" src=""https://naturestokri.com/wp-content/uploads/2018/07/mustard-rai-big-300x200.jpg"" class=""attachment-woocommerce_thumbnail size-woocommerce_thumbnail wp-post-image"" alt="""" />","https://naturestokri.com/store/all-organic-staples/organic-mustard-rai-big/","Organic Mustard / Rai Big","<option value="""">Choose an option</option><option value=""100 gms Pouch"" class=""attached enabled"">100 gms Pouch</option>","We Strive to cycle resources, promote ecological balance, and conserve biodiversity and bring to you Organic Mustard / Rai Big that is grown using the best agricultural practices. This product is cleaned, processed and packed in the most hygienic conditions to preserve its natural nutrition for your health benefits.","₹27.00","null"
